[ 2012-08-21T14:30:22+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000493s ]
[ 2012-08-21T14:30:22+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001237s ]
[ 2012-08-21T14:30:22+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003452s ]
[ 2012-08-21T14:30:22+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ view_end ] --START--
[ 2012-08-21T14:30:22+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001578s ]
[ 2012-08-21T14:30:22+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001758s ]
[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000754s ]
[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000947s ]
[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000684s ]
[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000855s ]
[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | SQL: SHOW COLUMNS FROM `node` [ RunTime:0.032427s ]
[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | SQL: SELECT `id` FROM `node` LIMIT 1   [ RunTime:0.000249s ]
[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | SQL: SELECT `id`,`name`,`group_id`,`title` FROM `node` WHERE ( `level` = 2 ) AND ( `status` = 1 ) AND ( `pid` = '1' ) ORDER BY sort asc  [ RunTime:0.009529s ]
[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST IndexAction.class.php 第 17 行.
[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000753s ]
[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000920s ]
[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ view_parse ] --START--
