[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000884s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | SQL: SHOW COLUMNS FROM `node` [ RunTime:0.056178s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | SQL: SELECT `id` FROM `node` LIMIT 1   [ RunTime:0.000250s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | SQL: SELECT `id`,`name`,`group_id`,`title` FROM `node` WHERE ( `level` = 2 ) AND ( `status` = 1 ) AND ( `pid` = '1' ) ORDER BY sort asc  [ RunTime:0.056277s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST IndexAction.class.php 第 17 行.
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.030835s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.031028s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.070661s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.070855s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000606s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000735s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000405s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000888s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003111s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000777s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000960s ]
[ 2012-08-23T09:51:58+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/js/dwz.regional.zh.js | ERR: (ThinkException) 非法操作js
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | INFO: Tag[ route_check ] --START--
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | INFO: Run CheckRoute Behavior [ RunTime:0.001887s ]
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002228s ]
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | INFO: Tag[ app_begin ] --START--
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000869s ]
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001053s ]
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | SQL: SHOW COLUMNS FROM `course` [ RunTime:0.051417s ]
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | SQL: SHOW COLUMNS FROM `course` [ RunTime:0.002022s ]
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | SQL: SELECT COUNT(id) AS tp_count FROM `course` LIMIT 1   [ RunTime:0.011164s ]
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | SQL: SELECT * FROM `course` ORDER BY `id` desc LIMIT 0,20   [ RunTime:0.000359s ]
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | INFO: Tag[ view_template ] --START--
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | INFO: Run LocationTemplate Behavior [ RunTime:0.030356s ]
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | INFO: Tag[ view_template ] --END-- [ RunTime:0.030553s ]
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | INFO: Tag[ view_parse ] --START--
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | NOTIC: [8] Undefined index: _order 8e20033806df2222c944c134d50f6ac8.php 第 3 行.
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | NOTIC: [8] Undefined index: _sort 8e20033806df2222c944c134d50f6ac8.php 第 4 行.
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | NOTIC: [8] Undefined index: _order 8e20033806df2222c944c134d50f6ac8.php 第 48 行.
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | NOTIC: [8] Undefined index: _order 8e20033806df2222c944c134d50f6ac8.php 第 49 行.
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | NOTIC: [8] Undefined index: _order 8e20033806df2222c944c134d50f6ac8.php 第 50 行.
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | NOTIC: [8] Undefined index: _order 8e20033806df2222c944c134d50f6ac8.php 第 51 行.
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | NOTIC: [8] Undefined index: _order 8e20033806df2222c944c134d50f6ac8.php 第 52 行.
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | NOTIC: [8] Undefined index: _order 8e20033806df2222c944c134d50f6ac8.php 第 53 行.
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | NOTIC: [8] Undefined index: _order 8e20033806df2222c944c134d50f6ac8.php 第 54 行.
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | NOTIC: [8] A non well formed numeric value encountered 8e20033806df2222c944c134d50f6ac8.php 第 65 行.
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | INFO: Run ParseTemplate Behavior [ RunTime:0.031047s ]
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031226s ]
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | INFO: Tag[ view_filter ] --START--
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | INFO: Run ContentReplace Behavior [ RunTime:0.000580s ]
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | INFO: Run TokenBuild Behavior [ RunTime:0.000816s ]
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000398s ]
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | INFO: Run ShowRuntime Behavior [ RunTime:0.001190s ]
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003462s ]
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | INFO: Tag[ view_end ] --START--
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001546s ]
[ 2012-08-23T10:11:56+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/index?_=1345687916416 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001784s ]
[ 2012-08-23T10:11:59+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/edit/id/12?_=1345687919133 | INFO: Tag[ route_check ] --START--
[ 2012-08-23T10:11:59+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/edit/id/12?_=1345687919133 | INFO: Run CheckRoute Behavior [ RunTime:0.001939s ]
[ 2012-08-23T10:11:59+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/edit/id/12?_=1345687919133 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002244s ]
[ 2012-08-23T10:11:59+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/edit/id/12?_=1345687919133 | INFO: Tag[ app_begin ] --START--
[ 2012-08-23T10:11:59+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/edit/id/12?_=1345687919133 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001410s ]
[ 2012-08-23T10:11:59+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/edit/id/12?_=1345687919133 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001668s ]
[ 2012-08-23T10:11:59+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/edit/id/12?_=1345687919133 | SQL: SHOW COLUMNS FROM `course` [ RunTime:0.002275s ]
[ 2012-08-23T10:11:59+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/edit/id/12?_=1345687919133 | SQL: SELECT * FROM `course` WHERE ( `id` = '12' ) LIMIT 1   [ RunTime:0.000321s ]
[ 2012-08-23T10:11:59+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/edit/id/12?_=1345687919133 | INFO: Tag[ view_template ] --START--
[ 2012-08-23T10:11:59+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/edit/id/12?_=1345687919133 | INFO: Run LocationTemplate Behavior [ RunTime:0.009517s ]
[ 2012-08-23T10:11:59+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/edit/id/12?_=1345687919133 | INFO: Tag[ view_template ] --END-- [ RunTime:0.009683s ]
[ 2012-08-23T10:11:59+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/edit/id/12?_=1345687919133 | INFO: Tag[ view_parse ] --START--
[ 2012-08-23T10:11:59+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/edit/id/12?_=1345687919133 | INFO: Run ParseTemplate Behavior [ RunTime:0.020519s ]
[ 2012-08-23T10:11:59+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/edit/id/12?_=1345687919133 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020705s ]
[ 2012-08-23T10:11:59+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/edit/id/12?_=1345687919133 | INFO: Tag[ view_filter ] --START--
[ 2012-08-23T10:11:59+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/edit/id/12?_=1345687919133 | INFO: Run ContentReplace Behavior [ RunTime:0.000778s ]
[ 2012-08-23T10:11:59+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/edit/id/12?_=1345687919133 | INFO: Run TokenBuild Behavior [ RunTime:0.000849s ]
